CDS	1.1918	1.2044	1.0903	3.4865
CDS	1.0905	1.1705	1.0779	3.3389
CCDS	0.6796	0.6505	0.6958	2.0259
CDS	1.0115	0.9607	0.7921	2.7644
CDS	1.2066	1.0909	1.1405	3.4380
CCDS	1.0038	0.9434	0.9208	2.8679
CCDS	0.9066	0.8581	0.8374	2.6021
CCDS	1.1034	1.0000	1.0000	3.1034
CDS	0.8627	0.8627	0.7698	2.4952
CCDS	0.8105	0.8005	0.6750	2.2861
CDS	1.2402	1.1508	1.0168	3.4078
CCDS	0.9593	0.9593	0.8959	2.8145
CDS	0.8932	0.8608	0.8091	2.5631
CDS	0.9883	0.9494	0.8638	2.8016
CDS	0.8163	0.8299	0.7211	2.3673
CDS	0.7561	0.6829	0.6439	2.0829
CCDS	1.0709	1.0394	1.0551	3.1654
CDS	0.8771	0.8904	0.8505	2.6179
CCDS	0.9789	0.9789	0.9225	2.8803
CCDS	1.0038	0.9358	0.8981	2.8377
CCDS	0.7506	0.7458	0.7458	2.2421
CCDS	0.7638	0.7839	0.8141	2.3618
CCDS	1.0990	1.0594	1.0297	3.1881
CCDS	0.9158	0.8526	0.9053	2.6737
CCDS	0.8360	0.7344	0.6882	2.2587
CCDS	0.7773	0.7854	0.7287	2.2915
CCDS	1.1385	1.1385	1.0872	3.3641
CCDS	0.8000	0.8500	0.8250	2.4750
CCDS	0.9614	0.8240	0.8412	2.6266
CCDS	0.6796	0.6990	0.7314	2.1100
CCDS	1.0526	1.0658	0.9474	3.0658
CCDS	0.8085	0.6298	0.6894	2.1277
CCDS	0.8475	0.8136	0.6554	2.3164
CDS	0.7531	0.7951	0.7086	2.2568
CDS	0.8970	0.8544	0.7456	2.4970
CDS	0.8930	0.9091	0.7273	2.5294
CDS	0.9323	0.8571	0.8271	2.6165
CDS	0.7609	0.8620	0.7273	2.3502
CDS	0.9107	0.9682	0.8502	2.7292
CCDS	0.8806	0.8712	0.8384	2.5902
CDS	0.8228	0.7975	0.7595	2.3797
CDS	1.4545	1.4545	1.7273	4.6364
CDS	1.2522	1.2522	1.1652	3.6696
CCDS	0.9615	0.9712	0.9808	2.9135
CCDS	0.8989	0.9064	0.8689	2.6742
CCDS	0.9528	1.0043	0.9871	2.9442
CDS	0.6561	0.7273	0.6443	2.0277
CDS	0.9937	1.0526	0.9263	2.9726
CDS	0.8497	0.8031	0.8860	2.5389
CCDS	1.0853	1.2093	1.1163	3.4109
CCDS	0.7232	0.6421	0.5904	1.9557
CCDS	1.0618	1.0182	0.9091	2.9891
CCDS	0.7565	0.8171	0.7093	2.2828
CCDS	1.0038	0.9962	0.9208	2.9208
CDS	1.2231	1.1653	1.0000	3.3884
CDS	1.1972	1.3169	1.1408	3.6549
